Rank	Score	Type	ID	Name	Description
291	76.13	cp	BRD-K56700933	phenethyl-isothiocyanate	Antineoplastic
295	75.94	cp	BRD-K77390737	xanthohumol	ATPase inhibitor
297	75.79	cp	BRD-K12539581	nocodazole	Tubulin inhibitor
299	75.57	cp	BRD-A34208323	VU-0404997-2	Glutamate receptor modulator
303	75.13	cp	BRD-K72034655	peucedanin	Apoptosis stimulant
307	74.77	cp	BRD-K27450477	EHNA	Adenosine deaminase inhibitor
320	73.2	cp	BRD-K17743697	KB-R7943	Sodium/calcium exchange inhibitor
324	72.41	cp	BRD-K13211965	L-741742	Dopamine receptor antagonist
325	72.38	cp	BRD-K83637872	SANT-1	Smoothened receptor antagonist
326	72.37	cp	BRD-K83063356	RS-102895	CCR antagonist
327	72.31	cp	BRD-K09638361	SA-63133	-666
328	72.25	cp	BRD-K23922020	arecaidine	Acetylcholine receptor agonist
329	72.24	cp	BRD-K80970344	pyrrolidine-dithiocarbamate	NFkB pathway inhibitor
333	72.04	cp	BRD-K28849549	mesalazine	Cyclooxygenase inhibitor
339	71.69	cp	BRD-K26818574	BIX-01294	Histone lysine methyltransferase inhibitor
341	71.48	cp	BRD-A43331270	niguldipine	Calcium channel blocker
347	71.09	cp	BRD-K37618799	MRS-1220	Adenosine receptor antagonist
348	71.06	cp	BRD-A36707673	hydroxycholesterol	LXR agonist
349	70.9	cp	BRD-K36737713	AG-957	Protein tyrosine kinase inhibitor
352	70.37	cp	BRD-K44849676	capsazepine	TRPV agonist
356	70.04	cp	BRD-K46317332	proadifen	Nitric oxide synthase inhibitor
362	69.72	cp	BRD-K22631935	neurodazine	Neurogenesis of non-pluripotent C2C12 myoblast inducer
366	69.45	cp	BRD-K59753975	vindesine	Tubulin inhibitor
368	69.24	cp	BRD-K26997899	SA-792574	Microtubule inhibitor
374	68.96	cp	BRD-A75935363	atracurium	Acetylcholine receptor antagonist
382	68.1	cp	BRD-K90574421	ipsapirone	Serotonin receptor agonist
383	68.06	cp	BRD-K84709232	caffeic-acid	Lipoxygenase inhibitor
384	68	cp	BRD-A09062839	amylocaine	Local anesthetic
394	67.01	cp	BRD-K55991774	BAS-09104376	HIV integrase inhibitor
396	66.89	cp	BRD-U68942961	JW-7-24-1	LCK Inhibitor
404	65.76	cp	BRD-K43330982	JTE-013	Lysophospholipid receptor antagonist
407	65.53	cp	BRD-A54029483	IRL-2500	Endothelin receptor antagonist
418	64.73	cp	BRD-K92428232	GSK-461364	PLK inhibitor
419	64.6	cp	BRD-K88741031	methyl-2,5-dihydroxycinnamate	EGFR inhibitor
422	64.51	cp	BRD-K26669427	WR-216174	PFMRK inhibitor
423	64.49	cp	BRD-K82143716	flucytosine	Antifungal
427	64.29	cp	BRD-K13725475	rhodomyrtoxin	Cytotoxic agent
432	63.9	cp	BRD-K29950728	clomifene	Estrogen receptor antagonist
437	63.67	cp	BRD-A62057054	MDL-11939	Serotonin receptor antagonist
438	63.67	cp	BRD-K67844266	MLN-4924	Nedd activating enzyme inhibitor
439	63.59	cp	BRD-K51318897	fenbendazole	Tubulin inhibitor
447	63.06	cp	BRD-A64479082	quinidine	Sodium channel blocker
448	62.94	cp	BRD-K05151076	ZK-164015	Estrogen receptor antagonist
449	62.92	cp	BRD-A04352665	maraviroc	CC chemokine receptor antagonist
453	62.48	cp	BRD-K79437791	acetyl-farnesyl-cysteine	Inhibitor of methylation of endogenous isoprenylated proteins
458	62.22	cp	BRD-A22707317	SB-205384	GABA receptor modulator
460	62.01	cp	BRD-K11433652	aspirin	Cyclooxygenase inhibitor
470	61.15	cp	BRD-A18043272	phensuximide	Succinimide antiepileptic
473	60.97	cp	BRD-K11630072	carmofur	Thymidylate synthase inhibitor
480	60.43	cp	BRD-K29733039	deforolimus	MTOR inhibitor
493	59.31	cp	BRD-K39120595	bithionol	Autotaxin inhibitor
495	59.26	cp	BRD-K99946902	hexylresorcinol	Local anesthetic
498	59.22	cp	BRD-K13356952	methazolamide	Carbonic anhydrase inhibitor
501	58.91	cp	BRD-A92537424	danazol	Estrogen receptor antagonist
504	58.56	cp	BRD-K46766488	S-14506	Serotonin receptor agonist
510	58.31	cp	BRD-K08619574	thioproperazine	Dopamine receptor antagonist
514	58.04	cp	BRD-K81376179	TCS-359	FLT3 inhibitor
517	57.94	cp	BRD-A80383043	BRD-A80383043	Glutamate receptor agonist
530	57.41	cp	BRD-U66370498	androstanol	CAR antagonist
533	57.32	cp	BRD-A46186775	hydrocortisone	Glucocorticoid receptor agonist
534	57.23	cp	BRD-A15010982	HU-211	Glutamate receptor antagonist
542	56.56	cp	BRD-K11158509	tyrphostin-B44	EGFR inhibitor
543	56.5	cp	BRD-A55913614	primaquine	Antimalarial
545	56.49	cp	BRD-K44432556	VU-0418946-1	HIF modulator
546	56.48	cp	BRD-K53545112	CNQX	Glutamate receptor antagonist
547	56.46	cp	BRD-A72703248	SKF-96365	Calcium channel blocker
549	56.26	cp	BRD-K40255344	tyrphostin-A9	Protein tyrosine kinase inhibitor
552	55.99	cp	BRD-K78659596	MLN-2238	Proteasome inhibitor
553	55.87	cp	BRD-A77299732	salubrinal	Eukaryotic translation initiation factor inhibitor
559	55.64	cp	BRD-K09436313	prostaglandin	Prostanoid receptor antagonist
563	55.54	cp	BRD-K70281171	U-99194	Dopamine receptor antagonist
564	55.54	cp	BRD-A41145729	methoprene-acid	Retinoid receptor agonist
569	55.11	cp	BRD-K72264770	QW-BI-011	Histone lysine methyltransferase inhibitor
570	55.11	cp	BRD-K49657628	tyrphostin-AG-18	EGFR inhibitor
577	54.81	cp	BRD-A15493168	tetracycline	Bacterial 30S ribosomal subunit inhibitor
579	54.48	cp	BRD-K83636919	entacapone	Catechol O methyltransferase inhibitor
580	54.44	cp	BRD-K17349619	HLI-373	MDM inhibitor
581	54.38	cp	BRD-K68174511	torin-2	MTOR inhibitor
583	54.24	cp	BRD-K19416115	sitagliptin	Dipeptidyl peptidase inhibitor
585	54.11	cp	BRD-A33833419	TER-14687	Inhibitor of translocation of PKCq in T cells
586	54.09	cp	BRD-K68246049	TTNPB	Retinoid receptor agonist
589	53.99	cp	BRD-M45964048	verteporfin	Photosensitizing agent
590	53.99	cp	BRD-K43887077	dopamine	Dopamine receptor agonist
600	53.45	cp	BRD-K76805682	SB-415286	Glycogen synthase kinase inhibitor
611	53.08	cp	BRD-A32836748	leu-enkephalin	Opioid receptor agonist
615	52.87	cp	BRD-K59633790	VU-0420363-1	SARS coronavirus 3C-like protease inhibitor
620	52.69	cp	BRD-K74305673	IKK-2-inhibitor-V	IKK inhibitor
623	52.57	cp	BRD-K40624912	ZM-39923	JAK inhibitor
625	52.49	cp	BRD-K33193182	methylnorlichexanthone	Aurora kinase inhibitor
626	52.42	cp	BRD-A28105619	cucurbitacin-i	JAK inhibitor
628	52.19	cp	BRD-K14693417	cinchonine	P-glycoprotein inhibitor
632	51.86	cp	BRD-K64606589	apicidin	HDAC inhibitor
635	51.78	cp	BRD-K62221994	T-98475	Gonadotropin releasing factor hormone receptor antagonist
636	51.73	cp	BRD-K28667793	pyrazinamide	Fatty acid synthase inhibitor
637	51.72	cp	BRD-K54095730	CMPD-1	p38 MAPK inhibitor
638	51.64	cp	BRD-A65440446	cimaterol	Adrenergic receptor agonist
643	51.44	cp	BRD-A10070317	propranolol	Adrenergic receptor antagonist
644	51.41	cp	BRD-K30296925	flavokavain-b	Antineoplastic
647	51.19	cp	BRD-K35687265	ON-01910	PLK inhibitor
648	51.04	cp	BRD-K63784565	BRD-K63784565	Topoisomerase inhibitor
650	50.75	cp	BRD-K41143549	BRD-K41143549	Glutamate receptor antagonist
655	50.29	cp	BRD-A34706053	CGP-12177	Adrenergic receptor agonist
656	50.26	cp	BRD-A58955223	sulforaphane	Antineoplastic
657	50.21	cp	BRD-K66792149	quinoclamine	Algicide
660	50.1	cp	BRD-K93433262	alfacalcidol	Vitamin D receptor agonist
662	49.93	cp	BRD-K85925969	zalcitabine	Nucleoside reverse transcriptase inhibitor
665	49.82	cp	BRD-K34608650	BRD-K34608650	Cannabinoid receptor agonist
666	49.79	cp	BRD-K11107424	tiotidine	Histamine receptor antagonist
668	49.71	cp	BRD-K83289131	CAY-10618	NAMPT inhibitor
671	49.44	cp	BRD-A45498368	WYE-125132	MTOR inhibitor
687	48.14	cp	BRD-A25576662	streptozotocin	DNA alkylating agent
688	48.05	cp	BRD-A48257147	PHCCC	Glutamate receptor agonist
693	47.76	cp	BRD-K84987553	MDM2-inhibitor	MDM inhibitor
696	47.61	cp	BRD-K90333595	phentolamine	Adrenergic receptor antagonist
703	47.35	cp	BRD-K63630713	etacrynic-acid	Sodium/potassium/chloride transporter inhibitor
709	47.08	cp	BRD-U01690642	acetyl-geranyl-cysteine	Isoprenylated protein methylation inhibitor
711	47.07	cp	BRD-A72711497	lasalocid	Bacterial permeability inducer
715	46.83	cp	BRD-A56987319	SQ-22536	Adenylyl cyclase inhibitor
720	46.58	cp	BRD-U94846492	quinine	Hemozoin biocrystallization inhibitor
721	46.5	cp	BRD-K88701661	dimercaptosuccinic-acid	Chelating agent
724	46.29	cp	BRD-A69636825	diltiazem	Calcium channel blocker
735	45.93	cp	BRD-K05926469	lenalidomide	Antineoplastic
738	45.77	cp	BRD-K18678457	ZD-7288	HCN channel blocker
739	45.73	cp	BRD-K56957086	dacinostat	HDAC inhibitor
740	45.73	cp	BRD-K96778649	tyrphostin-47	EGFR inhibitor
741	45.72	cp	BRD-K92731339	perindopril	ACE inhibitor
743	45.62	cp	BRD-A32949107	MRS-1845	Calcium channel blocker
761	44.69	cp	BRD-K17497770	butein	EGFR inhibitor
765	44.47	cp	BRD-K74430258	1,2-dichlorobenzene	Hepatotoxicant
766	44.37	cp	BRD-K19227686	phenolphthalein	Indicator dye
771	44.13	cp	BRD-A41250306	cyclopenthiazide	Thiazide diuretic
772	43.99	cp	BRD-K08109516	L-701324	Glutamate receptor antagonist
776	43.92	cp	BRD-K33864865	LY-225910	CCK receptor antagonist
780	43.76	cp	BRD-K75478907	GS-39783	GABA receptor modulator
784	43.43	cp	BRD-A53131506	epitestosterone	Inactive testosterone analog
786	43.28	cp	BRD-K91696562	orantinib	FGFR inhibitor
789	43.09	cp	BRD-K52313696	tacedinaline	HDAC inhibitor
794	42.75	cp	BRD-K82823804	SA-792987	PKC inhibitor
799	42.59	cp	BRD-A90799790	isradipine	Calcium channel blocker
804	42.1	cp	BRD-K89997465	chlorpromazine	Dopamine receptor antagonist
811	41.72	cp	BRD-K45479396	BP-554	Serotonin receptor agonist
814	41.58	cp	BRD-K36395411	SB-206553	Serotonin receptor antagonist
819	41.4	cp	BRD-A73605923	mocimycin	Protein synthesis inhibitor
824	41.17	cp	BRD-K08640512	RS-100329	Adrenergic receptor antagonist
825	41.13	cp	BRD-K93258693	GW-9662	PPAR receptor antagonist
826	41.13	cp	BRD-A38913120	BH3I-1	BCL inhibitor
829	41.01	cp	BRD-K56596464	QX-314	Sodium channel blocker
833	40.86	cp	BRD-K15402119	huperzine-a	Acetylcholinesterase inhibitor
835	40.82	cp	BRD-K88868628	iodoacetic-acid	Cysteine peptidase inhibitor
839	40.6	cp	BRD-K80725821	RS-16566	Serotonin receptor antagonist
848	40.17	cp	BRD-U44700465	HG-5-88-01	Protein kinase inhibitor
849	40.15	cp	BRD-K04853698	LDN-193189	Serine/threonine kinase inhibitor
850	40.14	cp	BRD-K40782193	QX-222	Sodium channel blocker
853	39.97	cp	BRD-K32696739	noreleagnine	Monoamine oxidase inhibitor
858	39.79	cp	BRD-K59570838	homoveratrylamine	Dopamine analog
860	39.72	cp	BRD-K37456065	VU-0365114-2	M5 modulator
862	39.63	cp	BRD-K68620903	dydrogesterone	Progesterone receptor agonist
864	39.6	cp	BRD-K50311478	tosyl-phenylalanyl-chloromethyl-ketone	Chymotrypsin inhibitor
868	39.4	cp	BRD-A01317026	7,8-dihydro-L-biopterin	Dihydroneopterin aldolase inhibitor
869	39.36	cp	BRD-K48427617	U-0124	MEK inhibitor
872	39.19	cp	BRD-A06352418	terfenadine	Histamine receptor antagonist
874	39.01	cp	BRD-K06878038	deferiprone	Chelating agent
877	38.91	cp	BRD-A81795050	U-18666A	Oxidosqualene cyclase inhibitor
879	38.77	cp	BRD-A83855350	naltrexone	Opioid receptor antagonist
881	38.61	cp	BRD-K11634954	GBR-13069	Dopamine uptake inhibitor
883	38.52	cp	BRD-K90789829	nefazodone	Adrenergic inhibitor
886	38.45	cp	BRD-K10042277	desmethylclozapine	Acetylcholine receptor agonist
888	38.26	cp	BRD-K79425933	benperidol	Dopamine receptor antagonist
889	38.17	cp	BRD-K65786282	CGP-7930	GABA receptor modulator
891	38.11	cp	BRD-K85013741	auraptene	Nitric oxide production inhibitor
894	38.03	cp	BRD-A39969961	eplerenone	Cytochrome P450 inhibitor
897	37.79	cp	BRD-K39339537	epirizole	Cyclooxygenase inhibitor
900	37.71	cp	BRD-K07220430	cinnarizine	Calcium channel blocker
908	37.38	cp	BRD-K57926513	tyrphostin-AG-1295	PDGFR receptor inhibitor
924	36.58	cp	BRD-K54411430	robustic-acid	cAMP inhibitor
926	36.31	cp	BRD-K85015012	NNC-05-2090	GAT inhibitor
927	36.31	cp	BRD-K03319035	maprotiline	Norepinephrine reuptake inhibitor
934	36.1	cp	BRD-K46384212	o-3M3FBS	phospholipase activator
936	35.9	cp	BRD-K86727142	embelin	HCV inhibitor
941	35.73	cp	BRD-K13571841	pepstatin	Aspartic protease inhibitor
942	35.72	cp	BRD-K17415526	tyrphostin-AG-835	Protein tyrosine kinase inhibitor
945	35.58	cp	BRD-K47717570	NBQX	Glutamate receptor antagonist
947	35.42	cp	BRD-K53523901	arctigenin	MEK inhibitor
948	35.42	cp	BRD-A04756508	norgestimate	Progesterone receptor agonist
956	35.24	cp	BRD-K12079898	PD-160170	Neuropeptide receptor antagonist
957	35.16	cp	BRD-K48300629	zonisamide	Sodium channel blocker
962	34.96	cp	BRD-A74667430	etodolac	Cyclooxygenase inhibitor
963	34.93	cp	BRD-K52397688	amperozide	Dopamine receptor antagonist
964	34.73	cp	BRD-K98521173	desoxycortone	Mineralocorticoid receptor agonist
969	34.43	cp	BRD-A41941932	vitexin	Antioxidant
974	34.3	cp	BRD-K76723084	isotretinoin	Retinoid receptor agonist
976	34.27	cp	BRD-K56001384	antimycin-a	ATP synthase inhibitor
978	34.18	cp	BRD-K67013324	luzindole	Melatonin receptor antagonist
979	34.13	cp	BRD-A39268308	epibatidine	Acetylcholine receptor agonist
981	34.11	cp	BRD-K00317371	RITA	MDM inhibitor
982	34.08	cp	BRD-K62289640	lylamine	Cannabinoid receptor agonist
986	33.89	cp	BRD-K95309561	dienestrol	Estrogen receptor agonist
988	33.8	cp	BRD-A36471396	biperiden	Acetylcholine receptor antagonist
1002	33.21	cp	BRD-A24228527	ofloxacin	Bacterial DNA gyrase inhibitor
1003	33.14	cp	BRD-A28422058	L-689560	Glutamate receptor antagonist
1005	33.11	cp	BRD-K06080977	eicosatetraynoic-acid	Cyclooxygenase inhibitor
1006	33.04	cp	BRD-K61314889	IWR-1-ENDO	PARP inhibitor
1008	32.97	cp	BRD-A65615053	zacopride	Serotonin receptor antagonist
1012	32.88	cp	BRD-K94830329	ataluren	CFTR channel agonist
1014	32.8	cp	BRD-K82109576	vincristine	Tubulin inhibitor
1015	32.79	cp	BRD-K68867920	quetiapine	Dopamine receptor antagonist
1019	32.67	cp	BRD-K71430621	clobenpropit	Histamine receptor antagonist
1020	32.58	cp	BRD-A52660433	tetrindole	Monoamine oxidase inhibitor
1022	32.39	cp	BRD-K62353524	DY-131	Estrogen receptor agonist
1029	31.92	cp	BRD-K48168960	propylthiouracil	Thyroid peroxidase inhibitor
1031	31.7	cp	BRD-K92984783	melperone	Serotonin receptor antagonist
1033	31.69	cp	BRD-K50214219	CS-1657	PARP inhibitor
1045	31.25	cp	BRD-K13169950	NSC-3852	HDAC inhibitor
1054	30.88	cp	BRD-K38449220	seneciphylline	Cytochrome P450 inhibitor
1055	30.81	cp	BRD-A73741725	exemestane	Aromatase inhibitor
1056	30.78	cp	BRD-K68332390	ponalrestat	Aldose reductase inhibitor
1059	30.69	cp	BRD-K95655893	MAZ-51	VEGFR inhibitor
1065	30.57	cp	BRD-K92492521	LY-255283	Leukotriene receptor antagonist
1068	30.43	cp	BRD-K35573744	erbstatin-analog	EGFR inhibitor
1077	30.11	cp	BRD-K84175871	pseudoephedrine	Adrenergic receptor agonist
1078	30.06	cp	BRD-K85503079	perospirone	Dopamine receptor antagonist
1082	29.99	cp	BRD-A99571536	dubinidine	Anti-epileptic
1085	29.86	cp	BRD-K64514229	toltrazuril	Antiprotozoal
1093	29.54	cp	BRD-A01320529	salmeterol	Adrenergic receptor agonist
1096	29.44	cp	BRD-K77987382	mebendazole	Tubulin inhibitor
1097	29.44	cp	BRD-K90885812	propantheline	Acetylcholine receptor antagonist
1101	29.26	cp	BRD-K13819402	desoxypeganine	Acetylcholinesterase inhibitor
1115	28.72	cp	BRD-A97701745	pindolol	Adrenergic receptor antagonist
1121	28.49	cp	BRD-K52459643	prostaglandin-e1	Prostanoid receptor agonist
1122	28.41	cp	BRD-K36638830	anabasine	Acetylcholine receptor agonist
1124	28.34	cp	BRD-K59331372	SB-366791	TRPV antagonist
1126	28.31	cp	BRD-K97330509	SRC-kinase-inhibitor-II	SRC inhibitor
1128	28.26	cp	BRD-K69763916	LY-341495	Glutamate receptor antagonist
1131	28.15	cp	BRD-A99177642	deltaline	Acetylcholine receptor antagonist
1134	28.04	cp	BRD-K63828191	raloxifene	Estrogen receptor antagonist
1138	27.95	cp	BRD-K82865713	prostaglandin-b2	cAMP inhibitor
1141	27.82	cp	BRD-K15262564	mupirocin	Isoleucyl-tRNA synthetase inhibitor
1142	27.81	cp	BRD-K03440695	boldine	Acetylcholine receptor antagonist
1143	27.78	cp	BRD-K37130656	rivaroxaban	Coagulation inhibitor
1146	27.71	cp	BRD-A03359064	ICI-89406	Adrenergic receptor antagonist
1147	27.71	cp	BRD-A93206962	L-755507	Adrenergic receptor agonist
1149	27.69	cp	BRD-K22662435	ganciclovir	DNA polymerase inhibitor
1152	27.49	cp	BRD-K40175214	torin-1	MTOR inhibitor
1155	27.31	cp	BRD-K43764301	dexketoprofen	Cyclooxygenase inhibitor
1158	27.11	cp	BRD-A07395371	esmolol	Adrenergic receptor antagonist
1165	26.95	cp	BRD-A11007541	BCI-hydrochloride	Protein phosphatase inhibitor
1169	26.91	cp	BRD-A11678676	wortmannin	PI3K inhibitor
1170	26.86	cp	BRD-K11558771	droxinostat	HDAC inhibitor
1173	26.75	cp	BRD-A54880345	etomidate	GABA receptor modulator
1179	26.5	cp	BRD-A43974575	tranylcypromine	Monoamine oxidase inhibitor
1181	26.38	cp	BRD-A84189516	baccatin-III	Paclitaxel precursor
1183	26.29	cp	BRD-K19360254	ergocornine	Dopamine receptor agonist
1189	26.14	cp	BRD-A39646320	HC-toxin	HDAC inhibitor
1191	26.11	cp	BRD-A84493640	atovaquone	Mitochondrial electron transport inhibitor
1202	25.95	cp	BRD-A36267905	buphenine	Adrenergic receptor agonist
1203	25.91	cp	BRD-K68103045	CGS-20625	Benzodiazepine receptor agonist
1208	25.84	cp	BRD-K79131256	albendazole	Anthelmintic
1210	25.79	cp	BRD-A56892734	esomeprazole	ATPase inhibitor
1211	25.78	cp	BRD-K07212038	selinidin	Mast cell stabilizer
1213	25.74	cp	BRD-K29653726	topiramate	Carbonic anhydrase inhibitor
1221	25.51	cp	BRD-A34751532	homosalate	HSP inducer
1224	25.45	cp	BRD-K64245000	GW-4064	FXR agonist
1225	25.44	cp	BRD-K17294426	clebopride	Dopamine receptor antagonist
1226	25.42	cp	BRD-A78360835	cercosporin	Photoactivated toxin
1227	25.4	cp	BRD-K91315211	betahistine	Histamine receptor agonist
1228	25.32	cp	BRD-K77998258	ganglioside	SRC activator
1231	25.27	cp	BRD-K40742111	baeomycesic-acid	Lipoxygenase inhibitor
1232	25.26	cp	BRD-K81418486	vorinostat	HDAC inhibitor
1233	25.23	cp	BRD-K49404994	levetiracetam	Calcium channel blocker
1234	25.18	cp	BRD-K20742498	RS-39604	Serotonin receptor antagonist
1236	24.99	cp	BRD-A79465854	auranofin	NFkB pathway inhibitor
1237	24.91	cp	BRD-K97309399	thiothixene	Dopamine receptor antagonist
1238	24.89	cp	BRD-K83837640	JNJ-26854165	HDAC inhibitor
1239	24.84	cp	BRD-A08709697	heliotrine	Pyrrolizidine alkaloid
1241	24.82	cp	BRD-K63089472	farnesylthioacetic-acid	Inhibitor of methyl esterification of farnesylated proteins
1248	24.45	cp	BRD-A33084410	5'-guanidinonaltrindole	Opioid receptor antagonist
1250	24.44	cp	BRD-A15435692	BMY-14802	Sigma receptor antagonist
1255	24.29	cp	BRD-K91900765	VX-745	p38 MAPK inhibitor
1256	24.21	cp	BRD-K37516142	idebenone	Calcium channel modulator
1271	23.79	cp	BRD-A06390036	hydroquinidine	Antiarrhythmic
1281	23.37	cp	BRD-K74402642	NSC-632839	Ubiquitin specific protease inhibitor
1282	23.36	cp	BRD-K95435023	PHA-665752	c-Met inhibitor
1284	23.29	cp	BRD-K74112339	acetohydroxamic-acid	Urease inhibitor
1286	23.22	cp	BRD-A31801025	formestane	Aromatase inhibitor
1288	23.12	cp	BRD-K29313308	HDAC3-selective	HDAC inhibitor
1292	23.02	cp	BRD-K54210043	NS-1619	Calcium channel activator
1293	23.01	cp	BRD-A43974499	reboxetine	Adrenergic receptor antagonist
1294	22.93	cp	BRD-K14767410	SC-560	Cyclooxygenase inhibitor
1299	22.7	cp	BRD-K07888196	tyrphostin-AG-538	IGF-1 inhibitor
1304	22.54	cp	BRD-K19295594	gossypol	BCL inhibitor
1307	22.48	cp	BRD-A65013509	oxybutynin	Acetylcholine receptor antagonist
1308	22.47	cp	BRD-A95939040	sertaconazole	Sterol demethylase inhibitor
1323	22.15	cp	BRD-K77908580	entinostat	HDAC inhibitor
1326	22.06	cp	BRD-K36198571	WAY-170523	Metalloproteinase inhibitor
1328	22.01	cp	BRD-K72783841	tyrphostin-AG-555	EGFR inhibitor
1330	21.93	cp	BRD-A57382968	piroxicam	Cyclooxygenase inhibitor
1331	21.88	cp	BRD-K62609077	scoulerine	Adrenergic receptor antagonist
1335	21.78	cp	BRD-K76840893	RS-17053	Adrenergic receptor antagonist
1336	21.7	cp	BRD-A75552914	isoxicam	Cyclooxygenase inhibitor
1342	21.62	cp	BRD-K48932581	cetraxate	Mucus protecting agent
1343	21.61	cp	BRD-K60274257	dephostatin	Tyrosine phosphatase inhibitor
1346	21.59	cp	BRD-K08806317	timolol	Adrenergic receptor antagonist
1348	21.55	cp	BRD-A35511923	L-803087	Somatostatin receptor agonist
1349	21.54	cp	BRD-K05396879	15-delta-prostaglandin-j2	PPAR receptor agonist
1353	21.36	cp	BRD-K28667196	fillalbin	Increases arterial blood pressure
1356	21.25	cp	BRD-A51820102	econazole	Bacterial cell wall synthesis inhibitor
