"","PCD_gene"
"121","CX3CR1"
"122","CXCL12"
"123","CYLD"
"124","CYP1B1"
"125","DAB2IP"
"126","DAP"
"127","DAP3"
"128","DAPK1"
"129","DAPK2"
"130","DAPK3"
"131","DAPL1"
"132","DAXX"
"133","DBH"
"134","DCC"
"135","DDIAS"
"136","DDIT3"
"137","DDIT4"
"138","DDX3X"
"139","DDX47"
"140","DDX5"
"141","DEDD"
"142","DEDD2"
"143","DELE1"
"144","DEPTOR"
"145","DIABLO"
"146","DIDO1"
"147","DNAJA1"
"148","DNAJC10"
"149","DNM1L"
"150","DPF2"
"151","DYRK2"
"152","E2F1"
"153","E2F2"
"154","EDA2R"
"155","EIF2AK3"
"156","ELL3"
"157","ENO1"
"158","EP300"
"159","EPHA2"
"160","EPO"
"161","ERBB3"
"162","ERCC6"
"163","ERN1"
"164","ERN2"
"165","ERO1A"
"166","ERP29"
"167","EYA1"
"168","EYA2"
"169","EYA3"
"170","EYA4"
"171","FADD"
"172","FAF1"
"173","FAIM"
"174","FAIM2"
"175","FAM162A"
"176","FAS"
"177","FASLG"
"178","FASTK"
"179","FBH1"
"180","FBXW7"
"181","FEM1B"
"182","FGA"
"183","FGB"
"184","FGF10"
"185","FGFR1"
"186","FGFR3"
"187","FGG"
"188","FHIT"
"189","FIGNL1"
"190","FIS1"
"191","FNIP2"
"192","FXN"
"193","FYN"
"194","FZD9"
"195","G0S2"
"196","GABARAP"
"197","GATA1"
"198","GATA4"
"199","GCLM"
"200","GDNF"
"201","GFRAL"
"202","GGCT"
"203","GHITM"
"204","GNAI2"
"205","GNAI3"
"206","GPER1"
"207","GPX1"
"208","GRINA"
"209","GSDME"
"210","GSK3A"
"211","GSK3B"
"212","GSKIP"
"213","GSTP1"
"214","GZMB"
"215","HDAC1"
"216","HERPUD1"
"217","HGF"
"218","HIC1"
"219","HIF1A"
"220","HINT1"
"221","HIP1"
"222","HIP1R"
"223","HIPK1"
"224","HIPK2"
"225","HMGB2"
"226","HMOX1"
"227","HNRNPK"
"228","HRAS"
"229","HRK"
"230","HSPA1A"
"231","HSPA1B"
"232","HSPB1"
"233","HTRA2"
"234","HTT"
"235","HYAL2"
"236","HYOU1"
"237","ICAM1"
"238","IFI16"
"239","IFI27"
"240","IFI27L1"
"241","IFI27L2"
"242","IFI6"
"243","IFNB1"
"244","IFNG"
"245","IGF1"
"246","IKBKE"
"247","IL12A"
"248","IL19"
"249","IL1A"
"250","IL1B"
"251","IL2"
"252","IL20RA"
"253","IL33"
"254","IL4"
"255","IL6R"
"256","IL7"
"257","INCA1"
"258","ING2"
"259","ING5"
"260","INHBA"
"261","INHBB"
"262","INS"
"263","ITGA6"
"264","ITGAM"
"265","ITGAV"
"266","ITM2C"
"267","ITPR1"
"268","ITPRIP"
"269","IVNS1ABP"
"270","JAK2"
"271","JMY"
"272","JUN"
"273","KDM1A"
"274","KITLG"
"275","KRT18"
"276","KRT8"
"277","LCK"
"278","LGALS12"
"279","LGALS3"
"280","LRRK2"
"281","LTBR"
"282","LY96"
"283","MADD"
"284","MAEL"
"285","MAGEA3"
"286","MAP2K5"
"287","MAP3K5"
"288","MAPK7"
"289","MAPK8"
"290","MAPK8IP1"
"291","MAPK8IP2"
"292","MAPK9"
"293","MARCHF7"
"294","MAZ"
"295","MCL1"
"296","MDM2"
"297","MELK"
"298","MFF"
"299","MIF"
"300","MIR132"
"301","MIR15A"
"302","MIR16-1"
"303","MIR17"
"304","MIR198"
"305","MIR21"
"306","MIR210"
"307","MIR221"
"308","MIR222"
"309","MIR26B"
"310","MIR27B"
"311","MIR449A"
"312","MKNK2"
"313","MLH1"
"314","MLLT11"
"315","MMP9"
"316","MNT"
"317","MOAP1"
"318","MPV17L"
"319","MSH2"
"320","MSH6"
"321","MSX1"
"322","MUC1"
"323","MUL1"
"324","MYBBP1A"
"325","NACC2"
"326","NANOS3"
"327","NBN"
"328","NCK1"
"329","NCK2"
"330","NDUFA13"
"331","NDUFS3"
"332","NFATC4"
"333","NFE2L2"
"334","NGF"
"335","NGFR"
"336","NKX3-1"
"337","NLE1"
"338","NME5"
"339","NMT1"
"340","NOC2L"
"341","NOG"
"342","NOL3"
"343","NONO"
"344","NOS3"
"345","NOX1"
"346","NR4A2"
"347","NUPR1"
"348","OPA1"
"349","P2RX4"
"350","P2RX7"
"351","P4HB"
"352","PAK2"
"353","PAK5"
"354","PARK7"
"355","PARP1"
"356","PARP2"
"357","PAWR"
"358","PCGF2"
"359","PDCD10"
"360","PDCD5"
"361","PDCD6"
"362","PDIA3"
"363","PDK1"
"364","PDK2"
"365","PDPK1"
"366","PDX1"
"367","PEA15"
"368","PELI3"
"369","PERP"
"370","PF4"
"371","PHIP"
"372","PHLDA3"
"373","PIAS4"
"374","PIDD1"
"375","PIH1D1"
"376","PIK3R1"
"377","PINK1"
"378","PLAGL2"
"379","PLAUR"
"380","PLEKHF1"
"381","PLSCR3"
"382","PMAIP1"
"383","PML"
"384","POLB"
"385","POU4F1"
"386","POU4F2"
"387","PPARD"
"388","PPIA"
"389","PPIF"
"390","PPM1F"
"391","PPP1CA"
"392","PPP1R13B"
"393","PPP1R15A"
"394","PPP2R1B"
"395","PPP3CC"
"396","PPP3R1"
"397","PRDX2"
"398","PRELID1"
"399","PRKCA"
"400","PRKCD"
"401","PRKDC"
"402","PRKN"
"403","PRKRA"
"404","PRODH"
"405","PSEN1"
"406","PSMD10"
"407","PSME3"
"408","PTEN"
"409","PTGIS"
"410","PTH"
"411","PTPMT1"
"412","PTPN1"
"413","PTPN2"
"414","PTPRC"
"415","PTTG1IP"
"416","PYCARD"
"417","QARS1"
"418","RACK1"
"419","RAF1"
"420","RB1"
"421","RB1CC1"
"422","RBCK1"
"423","RELA"
"424","RET"
"425","RFFL"
"426","RHOT1"
"427","RHOT2"
"428","RIPK1"
"429","RIPK3"
"430","RNF183"
"431","RNF186"
"432","RNF34"
"433","RNF41"
"434","RPL11"
"435","RPL26"
"436","RPS27L"
"437","RPS3"
"438","RPS6KB1"
"439","RPS7"
"440","RRP8"
"441","RTKN2"
"442","RTL10"
"443","S100A8"
"444","S100A9"
"445","SCG2"
"446","SCN2A"
"447","SCRT2"
"448","SELENOK"
"449","SELENOS"
"450","SENP1"
"451","SEPTIN4"
"452","SERINC3"
"453","SERPINE1"
"454","SFN"
"455","SFPQ"
"456","SFRP1"
"457","SFRP2"
"458","SGMS1"
"459","SGPL1"
"460","SGPP1"
"461","SH3RF1"
"462","SHH"
"463","SHISA5"
"464","SIAH1"
"465","SIAH2"
"466","SIRT1"
"467","SIVA1"
"468","SKIL"
"469","SLC25A5"
"470","SLC35F6"
"471","SLC9A3R1"
"472","SMAD3"
"473","SNAI1"
"474","SNAI2"
"475","SNW1"
"476","SOD1"
"477","SOD2"
"478","SORT1"
"479","SP100"
"480","SRC"
"481","SRPX"
"482","SST"
"483","SSTR3"
"484","ST20"
"485","STK11"
"486","STK24"
"487","STK25"
"488","STK3"
"489","STK4"
"490","STRADB"
"491","STX4"
"492","STYXL1"
"493","SYVN1"
"494","TAF9"
"495","TAF9B"
"496","TCF7L2"
"497","TERT"
"498","TFDP1"
"499","TFDP2"
"500","TFPT"
"501","TGFB1"
"502","TGFB2"
"503","TGFBR1"
"504","THBS1"
"505","TICAM1"
"506","TICAM2"
"507","TIMM50"
"508","TIMP3"
"509","TLR3"
"510","TLR4"
"511","TM2D1"
"512","TMBIM1"
"513","TMBIM6"
"514","TMC8"
"515","TMEM102"
"516","TMEM109"
"517","TMEM117"
"518","TMEM14A"
"519","TMEM161A"
"520","TNF"
"521","TNFAIP3"
"522","TNFRSF10A"
"523","TNFRSF10B"
"524","TNFRSF10C"
"525","TNFRSF12A"
"526","TNFRSF1A"
"527","TNFRSF1B"
"528","TNFRSF25"
"529","TNFSF10"
"530","TNFSF12"
"531","TOPORS"
"532","TP53"
"533","TP53BP2"
"534","TP63"
"535","TP73"
"536","TPD52L1"
"537","TPT1"
"538","TRADD"
"539","TRAF1"
"540","TRAF2"
"541","TRAF7"
"542","TRAP1"
"543","TRIAP1"
"544","TRIB3"
"545","TRIM32"
"546","TRIM39"
"547","TXNDC12"
"548","TYROBP"
"549","UACA"
"550","UBB"
"551","UBE2K"
"552","UBE4B"
"553","UBQLN1"
"554","UMOD"
"555","UNC5B"
"556","URI1"
"557","USP28"
"558","USP47"
"559","VDAC2"
"560","VNN1"
"561","WDR35"
"562","WNT4"
"563","WWOX"
"564","XBP1"
"565","YAP1"
"566","YBX3"
"567","YWHAB"
"568","YWHAE"
"569","YWHAG"
"570","YWHAH"
"571","YWHAQ"
"572","YWHAZ"
"573","ZC3HC1"
"574","ZDHHC3"
"575","ZMYND11"
"576","ZNF205"
"577","ZNF385A"
"578","ZNF385B"
"579","ZNF622"
"580","ZSWIM2"
"581","CASP6"
"582","CHMP2A"
"583","CHMP2B"
"584","CHMP3"
"585","CHMP4A"
"586","CHMP4B"
"587","CHMP4C"
"588","CHMP6"
"589","CHMP7"
"590","CYCS"
"591","ELANE"
"592","GPX4"
"593","GSDMB"
"594","GSDMC"
"595","GSDMD"
"596","HMGB1"
"597","IL18"
"598","IRF1"
"599","IRF2"
"600","NLRC4"
"601","NLRP1"
"602","NLRP2"
"603","NLRP3"
"604","NLRP6"
"605","NLRP7"
"606","NOD1"
"607","PLCG1"
"608","PJVK"
"609","PRKACA"
"610","SCAF11"
"611","TINAP"
"612","AIM2"
"613","GSDMA"
"614","IL6"
"615","NOD2"
"616","TIRAP"
"617","ABCC1"
"618","ACACA"
"619","ACO1"
"620","ACSF2"
"621","ACSL1"
"622","ACSL3"
"623","ACSL4"
"624","ACSL5"
"625","ACSL6"
"626","AIFM2"
"627","AKR1C1"
"628","AKR1C2"
"629","AKR1C3"
"630","ALOX12"
"631","ALOX15"
"632","ALOX5"
"633","ATG5"
"634","ATG7"
"635","ATP5MC3"
"636","BACH1"
"637","CARS"
"638","CBS"
"639","CISD1"
"640","CP"
"641","CRYAB"
"642","CS"
"643","CYBB"
"644","DPP4"
"645","EMC2"
"646","FADS2"
"647","FANCD2"
"648","FDFT1"
"649","FTH1"
"650","FTL"
"651","FTMT"
"652","G6PD"
"653","GCLC"
"654","GLS2"
"655","GOT1"
"656","GSS"
"657","HMGCR"
"658","HSBP1"
"659","IREB2"
"660","KEAP1"
"661","LPCAT3"
"662","MAP1LC3A"
"663","MAP1LC3B"
"664","MAP1LC3C"
"665","MT1G"
"666","NCOA4"
"667","NFS1"
"668","NQO1"
"669","NRF2"
"670","OTUB1"
"671","PCBP1"
"672","PCBP2"
"673","PEBP1"
"674","PGD"
"675","PHKG2"
"676","PRNP"
"677","PROM2"
"678","PTGS2"
"679","RPL8"
"680","SAT1"
"681","SAT2"
"682","SLC11A2"
"683","SLC1A5"
"684","SLC39A14"
"685","SLC39A8"
"686","SLC3A2"
"687","SLC40A1"
"688","SLC7A11"
"689","SQLE"
"690","STEAP3"
"691","TF"
"692","TFRC"
"693","VDAC3"
"694","ZEB1"
"695","ABL2"
"696","ACER2"
"697","ADRA1A"
"698","ADRB2"
"699","AMBRA1"
"700","ATF6"
"701","ATG101"
"702","ATG13"
"703","ATG14"
"704","ATG2A"
"705","ATG2B"
"706","ATP13A2"
"707","ATP6V0A1"
"708","ATP6V0A2"
"709","ATP6V0B"
"710","ATP6V0C"
"711","ATP6V0D1"
"712","ATP6V0D2"
"713","ATP6V0E1"
"714","ATP6V0E2"
"715","ATP6V1A"
"716","ATP6V1B1"
"717","ATP6V1B2"
"718","ATP6V1C1"
"719","ATP6V1C2"
"720","ATP6V1D"
"721","ATP6V1E1"
"722","ATP6V1E2"
"723","ATP6V1G1"
"724","ATP6V1G2"
"725","ATP6V1H"
"726","AUP1"
"727","C9orf72"
"728","CALCOCO2"
"729","CAMKK2"
"730","CAPN1"
"731","CAPNS1"
"732","CDC37"
"733","CDK5"
"734","CDK5R1"
"735","CISD2"
"736","CLEC16A"
"737","CLN3"
"738","CPTP"
"739","CTSA"
"740","DCN"
"741","DDRGK1"
"742","DEPDC5"
"743","DEPP1"
"744","DHRSX"
"745","DRAM1"
"746","DRAM2"
"747","EEF1A1"
"748","EEF1A2"
"749","EIF2AK4"
"750","EIF4G1"
"751","EIF4G2"
"752","ELAPOR1"
"753","EPM2A"
"754","ERCC4"
"755","EXOC1"
"756","EXOC4"
"757","EXOC7"
"758","EXOC8"
"759","FBXL2"
"760","FBXO7"
"761","FEZ1"
"762","FEZ2"
"763","FLCN"
"764","FOXK1"
"765","FOXK2"
"766","FOXO1"
"767","FOXO3"
"768","FYCO1"
"769","FZD5"
"770","GAPDH"
"771","GBA"
"772","GFAP"
"773","GOLGA2"
"774","GPR137"
"775","GPR137B"
"776","GPSM1"
"777","HAX1"
"778","HDAC6"
"779","HERC1"
"780","HSP90AA1"
"781","HSPA8"
"782","HSPB8"
"783","HTR2B"
"784","HUWE1"
"785","IKBKG"
"786","IL10"
"787","IL10RA"
"788","IRGM"
"789","KAT5"
"790","KAT8"
"791","KDM4A"
"792","KDR"
"793","KIF25"
"794","KLHL22"
"795","KLHL3"
"796","LACRT"
"797","LAMP1"
"798","LAMP2"
"799","LAMP3"
"800","LAMTOR1"
"801","LAMTOR2"
"802","LAMTOR3"
"803","LAMTOR4"
"804","LAMTOR5"
"805","LARP1"
"806","LEP"
"807","LEPR"
"808","LGALS8"
"809","LRSAM1"
"810","LZTS1"
"811","MAP3K7"
"812","MAPK15"
"813","MAPK3"
"814","MAPT"
"815","MEFV"
"816","MET"
"817","MFN2"
"818","MFSD8"
"819","MID2"
"820","MIR199A1"
"821","MIRLET7B"
"822","MLST8"
"823","MT3"
"824","MTCL1"
"825","MTDH"
"826","MTM1"
"827","MTMR3"
"828","MTMR4"
"829","MTMR8"
"830","MTMR9"
"831","MTOR"
"832","NEDD4"
"833","NPC1"
"834","NPRL2"
"835","NRBP2"
"836","OPTN"
"837","ORMDL3"
"838","OSBPL7"
"839","PAFAH1B2"
"840","PHB2"
"841","PHF23"
"842","PIK3C2A"
"843","PIK3C3"
"844","PIK3CA"
"845","PIK3CB"
"846","PIK3R2"
"847","PIM2"
"848","PIP4K2A"
"849","PIP4K2B"
"850","PIP4K2C"
"851","PLK2"
"852","PLK3"
"853","POLDIP2"
"854","PRKAA1"
"855","PRKAA2"
"856","PRKAB1"
"857","PRKAB2"
"858","PRKAG1"
"859","PRKAG2"
"860","PRKAG3"
"861","PRKD1"
"862","PSAP"
"863","PTPN22"
"864","QSOX1"
"865","RAB39B"
"866","RAB3GAP1"
"867","RAB3GAP2"
"868","RAB7A"
"869","RAB8A"
"870","RALB"
"871","RASIP1"
"872","RETREG1"
"873","RETREG3"
"874","RHEB"
"875","RIPK2"
"876","RMC1"
"877","RNF152"
"878","RNF5"
"879","ROCK1"
"880","RPTOR"
"881","RRAGA"
"882","RRAGB"
"883","RRAGC"
"884","RRAGD"
"885","RUBCN"
"886","RUFY4"
"887","SCFD1"
"888","SCOC"
"889","SEC22B"
"890","SESN1"
"891","SESN2"
"892","SESN3"
"893","SH3BP4"
"894","SH3GLB1"
"895","SIRT2"
"896","SLC38A9"
"897","SMCR8"
"898","SMG1"
"899","SNCA"
"900","SNRNP70"
"901","SNX32"
"902","SNX5"
"903","SNX6"
"904","SOGA1"
"905","SOGA3"
"906","SPTLC1"
"907","SPTLC2"
"908","SQSTM1"
"909","SREBF1"
"910","SREBF2"
"911","STAT3"
"912","STBD1"
"913","STING1"
"914","STUB1"
"915","SUPT5H"
"916","SVIP"
"917","SYNPO2"
"918","TAB2"
"919","TAB3"
"920","TBC1D14"
"921","TBC1D25"
"922","TBK1"
"923","TEX264"
"924","TFEB"
"925","TIGAR"
"926","TLK2"
"927","TMEM150A"
"928","TMEM150B"
"929","TMEM150C"
"930","TMEM39A"
"931","TMEM39B"
"932","TMEM59"
"933","TOMM7"
"934","TP53INP1"
"935","TP53INP2"
"936","TPCN1"
"937","TPCN2"
"938","TREM2"
"939","TRIM13"
"940","TRIM14"
"941","TRIM21"
"942","TRIM22"
"943","TRIM27"
"944","TRIM34"
"945","TRIM38"
"946","TRIM5"
"947","TRIM6"
"948","TRIM65"
"949","TRIM68"
"950","TRIM8"
"951","TRIML1"
"952","TRIML2"
"953","TSC1"
"954","TSC2"
"955","TSPO"
"956","UBA5"
"957","UBQLN2"
"958","UBQLN4"
"959","UCHL1"
"960","UFC1"
"961","UFL1"
"962","UFM1"
"963","ULK1"
"964","USP10"
"965","USP13"
"966","USP30"
"967","USP33"
"968","USP36"
"969","UVRAG"
"970","VDAC1"
"971","VPS13C"
"972","VPS13D"
"973","VPS26A"
"974","VPS26B"
"975","VPS35"
"976","WAC"
"977","WASHC1"
"978","WDFY3"
"979","WDR24"
"980","WDR41"
"981","WDR6"
"982","WDR81"
"983","WIPI2"
"984","ZC3H12A"
"985","ZKSCAN3"
"986","ZMPSTE24"
"987","GLUD1"
"988","GLUD2"
"989","PYG"
"990","GLNA"
"991","CAPN2"
"992","HSP90A"
"993","TNFSF6"
"994","TNFRSF6"
"995","JNK"
"996","CAMK2"
"997","IRF9"
"998","XIAP"
"999","TRPM7"
"1000","IFNAR1"
"1001","IFNAR2"
"1002","IFNGR1"
"1003","IFNGR2"
"1004","TIRP"
"1005","IFNA"
"1006","IFNB"
"1007","TRIF"
"1008","SLC25A4S"
"1009","PPID"
"1010","MLKL"
"1011","TRAF5"
"1012","JAK1"
"1013","JAK3"
"1014","TYK2"
"1015","STAT1"
"1016","STAT2"
"1017","STAT4"
"1018","STAT5A"
"1019","STAT5B"
"1020","STAT6"
"1021","H2A"
"1022","RNF31"
"1023","VPS24"
"1024","VPS4"
"1025","CHMP1"
"1026","CHMP5"
"1027","SMPD1"
"1028","ZBP1"
"1029","PGAM5"
"1030","BIRC2"
"1031","BIRC3"
"1032","EIF2AK2"
"1033","PLA2G4"
"1034","SPATA2"
"1035","SHARPIN"
"1036","NOX2"
"1037","USP21"
"1038","ATP7B"
"1039","ATP7A"
"1040","SLC31A1"
"1041","FDX1"
"1042","LIAS"
"1043","LIPT1"
"1044","LIPT2"
"1045","DLD"
"1046","DLAT"
"1047","PDHA1"
"1048","PDHB"
"1049","MTF1"
"1050","GLS"
"1051","CDKN2A"
"1052","DBT"
"1053","GCSH"
"1054","DLST"
"1055","PARP"
"1056","HSP70"
"1057","PAAN"
"1058","ARH3"
"1059","RNF146"
"1060","ADPRHL2"
"1061","OGG1"
"1062","AMPK"
"1063","CDC42"
"1064","CDH1"
"1065","MYH14"
"1066","PI3KC3"
"1067","RHOA"
"1068","ROCK"
"1069","MMP1"
"1070","MPO"
"1071","CAMP"
"1072","PADI4"
"1073","EIPA"
"1074","NCX1"
"1075","MIA"
"1076","ABCA2"
"1077","ABCB9"
"1078","ACP2"
"1079","ACP5"
"1080","ADGRE2"
"1081","AGA"
"1082","AP1B1"
"1083","AP1G1"
"1084","AP1M1"
"1085","AP1M2"
"1086","AP1S1"
"1087","AP1S2"
"1088","AP1S3"
"1089","AP3B1"
"1090","AP3B2"
"1091","AP3D1"
"1092","AP3M1"
"1093","AP3M2"
"1094","AP3S1"
"1095","AP3S2"
"1096","AP4B1"
"1097","AP4E1"
"1098","AP4M1"
"1099","AP4S1"
"1100","ARF1"
"1101","ARL8B"
"1102","ARSA"
"1103","ARSB"
"1104","ARSG"
"1105","ASAH1"
"1106","ATP10B"
"1107","ATP6AP1"
"1108","ATP6V0A4"
"1109","BLK"
"1110","BLOC1S1"
"1111","BORCS5"
"1112","BORCS6"
"1113","C12orf4"
"1114","CBL"
"1115","CD164"
"1116","CD300A"
"1117","CD63"
"1118","CD68"
"1119","CD84"
"1120","CHGA"
"1121","CLN5"
"1122","CLNK"
"1123","CLTA"
"1124","CLTB"
"1125","CLTC"
"1126","CLTCL1"
"1127","CPLX2"
"1128","CTNS"
"1129","CTSB"
"1130","CTSD"
"1131","CTSE"
"1132","CTSF"
"1133","CTSG"
"1134","CTSH"
"1135","CTSK"
"1136","CTSL"
"1137","CTSO"
"1138","CTSS"
"1139","CTSV"
"1140","CTSW"
"1141","CTSZ"
"1142","DEF8"
"1143","DNASE2"
"1144","DNASE2B"
"1145","ENTPD4"
"1146","FAM98A"
"1147","FER"
"1148","FES"
"1149","FGR"
"1150","FOXF1"
"1151","FUCA1"
"1152","GAA"
"1153","GAB2"
"1154","GALC"
"1155","GALNS"
"1156","GATA2"
"1157","GCC2"
"1158","GGA1"
"1159","GGA2"
"1160","GGA3"
"1161","GLA"
"1162","GLB1"
"1163","GM2A"
"1164","GNPTAB"
"1165","GNPTG"
"1166","GNS"
"1167","GUSB"
"1168","HEXA"
"1169","HEXB"
"1170","HGS"
"1171","HGSNAT"
"1172","HPS6"
"1173","HYAL1"
"1174","IDS"
"1175","IDUA"
"1176","IGF2R"
"1177","IL13"
"1178","IL13RA2"
"1179","IL4R"
"1180","KIF1B"
"1181","KIT"
"1182","KXD1"
"1183","LAPTM4A"
"1184","LAPTM4B"
"1185","LAPTM5"
"1186","LAT"
"1187","LAT2"
"1188","LGALS9"
"1189","LGMN"
"1190","LIPA"
"1191","LYN"
"1192","M6PR"
"1193","MAN2B1"
"1194","MANBA"
"1195","MAP6"
"1196","MCOLN1"
"1197","MILR1"
"1198","MRGPRX2"
"1199","MYH9"
"1200","NAGA"
"1201","NAGLU"
"1202","NAGPA"
"1203","NAPSA"
"1204","NDEL1"
"1205","NEU1"
"1206","NPC2"
"1207","NR4A3"
"1208","PIK3CD"
"1209","PIK3CG"
"1210","PIP4P1"
"1211","PLA2G15"
"1212","PLA2G3"
"1213","PLEKHM1"
"1214","PLEKHM2"
"1215","PPT1"
"1216","PPT2"
"1217","PSAPL1"
"1218","PTGDR"
"1219","PTGDS"
"1220","RAB34"
"1221","RAB3A"
"1222","RAC2"
"1223","RUBCNL"
"1224","S100A13"
"1225","SCARB2"
"1226","SGSH"
"1227","SLC11A1"
"1228","SLC17A5"
"1229","SNAP23"
"1230","SNAPIN"
"1231","SNX16"
"1232","SNX4"
"1233","SORL1"
"1234","SPAG9"
"1235","SPHK2"
"1236","STXBP1"
"1237","STXBP2"
"1238","SUMF1"
"1239","SYK"
"1240","SYTL4"
"1241","TCIRG1"
"1242","TMEM106B"
"1243","TPP1"
"1244","UNC13D"
"1245","VAMP7"
"1246","VAMP8"
"1247","VPS33A"
"1248","VPS33B"
"1249","VPS4A"
"1250","WASH3P"
"1251","ZFYVE16"
"1252","IKBKB"
"1253","NFKB1"
"1254","CA9"
"1255","CHUK"
"1256","NFKB1A"
"1257","AIRE"
"1258","MYD88"
"1259","TLR2"
"1260","PAD4"
"1261","PKCB"
"1262","PRKCZ"
"1263","NOX3"
"1264","NOX4"
"1265","PRTN3"
"1266","IL1B?"
"1267","CXCL1"
"1268","PLA2G7"
"1269","CXCL8"
"1270","CDK6"
"1271","AGER"
"1272","CSF3"
"1273","CALR"
"1274","CD4"
"1275","CD8A"
"1276","CD8B"
"1277","CXCR3"
"1278","ENTPD1"
"1279","FOXP3"
"1280","IFNA1"
"1281","IL17A"
"1282","IL17RA"
"1283","IL1R1"
"1284","NT5E"
"1285","PRF1"
"1286","BRMS1"
"1287","PTK2"
"1288","NTRK2"
"1289","CEACAM6"
"1290","ITGB1"
"1291","CEACAM5"
"1292","EGFR"
"1293","SIK1"
"1294","PTRH2"
"1295","TLE1"
"1296","CTNNB1"
"1297","ZNF304"
"1298","MAPK1"
"1299","ITGA5"
"1300","PAK1"
"1301","FN1"
"1302","BCAR1"
"1303","ERBB2"
"1304","ANGPTL4"
"1305","PDK4"
"1306","BRAF"
"1307","ANKRD13C"
"1308","ITGA2"
"1309","ANXA5"
"1310","BIRC5"
"1311","TIMP1"
"1312","CSPG4"
"1313","BSG"
"1314","AKT2"
"1315","IGF1R"
"1316","ILK"
"1317","TLE5"
"1318","ITGA3"
"1319","PTK2B"
"1320","CCND1"
"1321","CDCP1"
"1322","SKP2"
"1323","EGF"
"1324","ITGB4"
"1325","PIK3R3"
"1326","MAP2K1"
"1327","FBXW7-AS1"
"1328","ABHD4"
"1329","ITGA4"
"1330","PHLDA2"
"1331","HMCN1"
"1332","MMP2"
"1333","CEMIP"
"1334","CDKN3"
"1335","MIR200C"
"1336","CPT1A"
"1337","CLDN1"
"1338","MIR204"
"1339","MIR26A1"
"1340","CDKN1B"
"1341","KLF12"
"1342","NTRK1"
"1343","PLAU"
"1344","MYC"
"1345","SMAD4"
"1346","PLK1"
"1347","LGALS1"
"1348","ITGB3"
"1349","KRAS"
"1350","CDK11B"
"1351","CDK11A"
"1352","PPARG"
"1353","MIR145"
"1354","CCR7"
"1355","MSLN"
"1356","RAC1"
"1357","GRHL2"
"1358","NOTCH1"
"1359","RHOG"
"1360","MMP13"
"1361","MTA1"
"1362","MYO5A"
"1363","CCN6"
"1364","MAPK11"
"1365","PTHLH"
"1366","PDGFB"
"1367","GLI2"
"1368","EZH2"
"1369","CXCR4"
"1370","HMGA1"
"1371","SIK2"
"1372","ANGPTL2"
"1373","S100A4"
"1374","NTF3"
"1375","ETV4"
"1376","MIR124-1"
"1377","HTRA1"
"1378","LATS1"
"1379","CEACAM3"
"1380","LAMC2"
"1381","LAMA3"
"1382","LAMB3"
"1383","CDH2"
"1384","EDIL3"
"1385","ZEB2"
"1386","TLN1"
"1387","SIRT3"
"1388","OLFM3"
"1389","SPINK1"
"1390","CPEB2"
"1391","NAT1"
"1392","TSG101"
"1393","MIR200A"
"1394","MIR6744"
"1395","SERPINA1"
"1396","AKT3"
"1397","AFP"
