"","Drug","r","p.value"
"39","Dactinomycin_1911",-0.0831729689578331,0.112640293263278
"40","ABT737_1910",-0.00269802059606686,0.959013127101811
"41","Venetoclax_1909",0.00182862275833307,0.972214564428341
"42","Ulixertinib_1908",-0.165890139503434,0.00148922351998844
"43","Buparlisib_1873",-0.178168317198185,0.000638484500974968
"44","BDP-00009066_1866",-0.273842550891731,1.19658219299857e-07
"45","MG-132_1862",-0.155701675373807,0.00288466950247003
"46","KRAS (G12C) Inhibitor-12_1855",0.0376390283868389,0.473267771006183
"47","MN-64_1854",0.0108715448037254,0.835937041225704
"48","OF-1_1853",0.220443311460603,2.24495265413349e-05
"49","LY2109761_1852",0.129636274347705,0.0132354823219752
"50","Sabutoclax_1849",0.0443276911725149,0.398274937202659
"51","Sinularin_1838",0.0220009723041387,0.675120842495457
"52","Elephantin_1835",0.00703982745303203,0.893323605111256
"53","Gallibiscoquinazole_1830",-0.0608373660922504,0.246172158716952
"54","Dihydrorotenone_1827",0.119570458735067,0.0223769985291536
"55","Podophyllotoxin bromide_1825",-0.0717760344304247,0.171127167739882
"56","Docetaxel_1819",-0.11676262206242,0.0257480905050251
"57","Vincristine_1818",-0.150995131075975,0.0038660897847734
"58","Fulvestrant_1816",-0.00105127300276638,0.984024828379279
"59","Nelarabine_1814",0.0292424171382177,0.577442850647715
"60","Fludarabine_1813",-0.13722863707144,0.00870350070932043
"61","Dactinomycin_1811",0.0759184449056445,0.147688278635464
"62","Mitoxantrone_1810",-0.00795710016460073,0.879523366938162
"63","Teniposide_1809",-0.252938999020293,1.06655580485041e-06
"64","Topotecan_1808",-0.170436278296148,0.00109538860576577
"65","Carmustine_1807",0.0462034484715823,0.378599903029104
"66","Oxaliplatin_1806",0.0301774578441994,0.565329010235728
"67","Acetalax_1804",-0.0479622331407645,0.360704138926722
"68","Zoledronate_1802",0.0145228676555872,0.782046304630289
"69","Ibrutinib_1799",-0.146381621971112,0.00511224559228519
"70","AZD4547_1786",0.0355621472621248,0.498038123893249
"71","JAK_8517_1739",-0.0320092887126348,0.5419560083432
"72","IGF1R_3801_1738",-0.0276383620870484,0.598503170990109
"73","Selumetinib_1736",-0.130430898542284,0.0126792288539352
"74","VSP34_8731_1734",-0.155497343438058,0.00292205721264878
"75","ULK1_4989_1733",-0.332109974014308,9.84912940052996e-11
"76","TAF1_5496_1732",0.102055411464798,0.0514267261988642
"77","PAK_5339_1730",-0.171331587792401,0.00103017788739704
"78","AZD5991_1720",0.161698867043578,0.00196358633873248
"79","JAK1_8709_1718",0.22801124319202,1.14650657573179e-05
"80","IRAK4_4710_1716",-0.154987500709486,0.0030172758748671
"81","ERK_6604_1714",-0.363734289514662,1.01488135134651e-12
"82","ERK_2440_1713",-0.151146159028486,0.00383040130140515
"83","Eg5_9814_1712",-0.0037436177117291,0.943151329331113
"84","CDK9_5038_1709",-0.0463507747585897,0.37708026506701
"85","CDK9_5576_1708",-0.0317864484493723,0.54477344040205
"86","AZD5153_1706",0.0860706327133455,0.10061896327354
"87","Picolinici-acid_1635",0.00876381646648882,0.867416371318858
"88","AGI-6780_1634",-0.106884110724219,0.0413045176923009
"89","PRT062607_1631",-0.231882444974742,8.05936951194311e-06
"90","Entospletinib_1630",-0.214716341372528,3.67766721840783e-05
"91","ML323_1629",-0.266947088393304,2.51239882877664e-07
"92","GSK343_1627",-0.120160010660797,0.021719927285909
"93","OTX015_1626",-0.0526677903277948,0.315480186949807
"94","RVX-208_1625",-0.173337643717163,0.000896857128612214
"95","I-BET-762_1624",-0.0659678744789906,0.208517645613639
"96","Wnt-C59_1622",-0.162300757854317,0.00188787910205913
"97","PCI-34051_1621",0.033200237893703,0.527022453431128
"98","PFI3_1620",-0.0493858936931023,0.346612642853286
"99","GSK2606414_1618",-0.061382744809648,0.241957475697426
"100","AZD5582_1617",-0.188015487768463,0.000310962306224855
"101","CZC24832_1615",-0.208584655856158,6.1511717439608e-05
"102","WZ4003_1614",-0.0606873252505411,0.247340617777133
"103","VE-822_1613",-0.169405241064796,0.00117518865765334
"104","LGK974_1598",-0.20305930314913,9.65757435341531e-05
"105","Entinostat_1593",0.0504384005843696,0.33642269781806
"106","Leflunomide_1578",-0.153208480268889,0.0033720391331159
"107","IWP-2_1576",-0.0619846356203868,0.237365114234827
"108","SCH772984_1564",-0.288551488933254,2.29820342114854e-08
"109","EPZ5676_1563",0.0740286212776669,0.158058753074355
"110","Taselisib_1561",-0.16185236277309,0.00194401979012054
"111","Alpelisib_1560",-0.147321598231097,0.00483231410299413
"112","Luminespib_1559",-0.138595291975036,0.00805379536099486
"113","Lapatinib_1558",-0.16674917267776,0.0014060631015343
"114","LCL161_1557",0.236346160015596,5.32823088492517e-06
"115","Uprosertib_1553",0.207592856279135,6.67572509670274e-05
"116","Sapitinib_1549",-0.321872894677745,3.84201987327887e-10
"117","Pevonedistat_1529",-0.247272242691061,1.87076931301324e-06
"118","Cyclophosphamide_1512",-0.132946056862518,0.0110521470223165
"119","Epirubicin_1511",-0.195601927827394,0.000174283274801364
"120","Linsitinib_1510",0.0909324001845897,0.0827607689089887
"121","Ruxolitinib_1507",-0.0207130394868998,0.693145257876424
"122","AZD1332_1463",-0.0698245163774021,0.183086953463459
"123","AZD1208_1449",0.226857310665979,1.27205792350548e-05
"124","AZD2014_1441",0.108473852668777,0.0383639458331442
"125","IAP_5620_1428",0.269485443817355,1.91651239691446e-07
"126","AZD5438_1401",-0.0860168351747063,0.100832470106381
"127","Temozolomide_1375",-0.226975023628965,1.25867496323683e-05
"128","Dabrafenib_1373",-0.137679746707369,0.0084840586689479
"129","Trametinib_1372",-0.278335632478907,7.30012342051778e-08
"130","XAV939_1268",-0.107865052082434,0.0394683928049831
"131","Talazoparib_1259",-0.136164038072864,0.00924154185357389
"132","AZ960_1250",-0.3181065734176,6.25878363757865e-10
"133","BMS-345541_1249",-0.065832640299292,0.209453520115036
"134","YK-4-279_1239",-0.235328448780054,5.85952026348909e-06
"135","EPZ004777_1237",-0.0271796023424139,0.604589692812749
"136","Fulvestrant_1200",-0.0737260718172463,0.159768848896914
"137","Tamoxifen_1199",0.0305917976028014,0.560000274110875
"138","Bortezomib_1191",-0.156688786174526,0.00271010999734942
"139","Gemcitabine_1190",-0.19663888772355,0.000160750932553834
"140","Dinaciclib_1180",-0.174780059374715,0.000811053084392564
"141","MK-1775_1179",-0.280679280297515,5.622143128939e-08
"142","Niraparib_1177",-0.060155025751253,0.251517162387324
"143","Erlotinib_1168",-0.0733477616028705,0.161926745098288
"144","PRIMA-1MET_1131",-0.0641237047255462,0.221542142663599
"145","GSK1904529A_1093",0.0195235709720327,0.709947172981041
"146","BMS-536924_1091",-0.202742193804399,9.90735225940602e-05
"147","Oxaliplatin_1089",-0.00355754732579345,0.945972570706806
"148","Irinotecan_1088",-0.0937217285297231,0.0737307431765179
"149","Sorafenib_1085",0.0520846546222697,0.320873808460883
"150","Rapamycin_1084",-0.126539214210447,0.015614033775863
"151","Crizotinib_1083",-0.0480392277832206,0.359932995604476
"152","Paclitaxel_1080",-0.262322227514233,4.08603450498149e-07
"153","Dasatinib_1079",-0.31740769897069,6.84690323887119e-10
"154","5-Fluorouracil_1073",-0.335525870940198,6.18081604384083e-11
"155","Obatoclax Mesylate_1068",0.0239813633480824,0.647767358769032
"156","PD0325901_1060",-0.201198846067474,0.000112122200134254
"157","Pictilisib_1058",-0.183564111612618,0.000432400500522102
"158","Dactolisib_1057",-0.0598430987382256,0.2539872778938
"159","Palbociclib_1054",-0.130906439170531,0.012356297736299
"160","MK-2206_1053",0.0723776784634633,0.167560274696262
"161","Alisertib_1051",-0.204841531699829,8.36048767803315e-05
"162","PD173074_1049",-0.00675603309782515,0.897599980639342
"163","Mirin_1048",-0.100116479074485,0.0560366616753818
"164","Nutlin-3a (-)_1047",0.102083544122619,0.0513622413736405
"165","Wee1 Inhibitor_1046",-0.12203033885046,0.019744955548667
"166","PLX-4720_1036",0.030148091297878,0.565707607132948
"167","Staurosporine_1034",-0.341812039296881,2.58017310271188e-11
"168","Afatinib_1032",-0.23034279890332,9.27878445829568e-06
"169","AZD7762_1022",-0.298947246331033,6.76634912251071e-09
"170","Olaparib_1017",-0.0563455183935759,0.282838510541295
"171","Nilotinib_1013",-0.00514580860415129,0.921916311690659
"172","Vorinostat_1012",0.026270226517251,0.616735729032732
"173","Navitoclax_1011",-0.17042467974424,0.001096257826191
"174","Gefitinib_1010",-0.0705971773566653,0.178279935686659
"175","Docetaxel_1007",-0.263636318767691,3.56190852616316e-07
"176","Cytarabine_1006",-0.153927837264913,0.00322426284169175
"177","Cisplatin_1005",-0.175291382769487,0.000782505708057837
"178","Vinblastine_1004",-0.227623061869637,1.18736390124256e-05
"179","Camptothecin_1003",-0.158872522043418,0.00235762721236855
