"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Tumor_AVG","Normal_AVG","deltaBeta","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_CpG_Islands_Name","DHS","Enhancer","Phantom","Probe_SNPs","Probe_SNPs_10"
"cg08426157",-0.478824340523027,0.363031388501028,-17.4412227491035,2.89325300201319e-45,2.53917423728384e-41,92.2983805224676,0.26877462855555,0.747598969078577,0.478824340523027,"7",18794174,"F","I","HDAC9","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg04604142",-0.503925122697279,0.328246041199161,-17.3461477960808,6.15797378917523e-45,4.98048467947605e-41,91.5483679889071,0.229048182400484,0.732973305097764,0.503925122697279,"17",48796515,"R","II","LUC7L3","TSS1500","shore","TSS1500-shore","chr17:48796750-48797317",NA,NA,"","",""
"cg17514199",-0.491667344888301,0.29891329227818,-17.3145589405663,7.9153685398681e-45,6.27872909748718e-41,91.2990871539079,0.202128381867097,0.693795726755398,0.491667344888301,"1",238051451,"R","II","LOC100130331","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg22524061",0.585788850663967,0.66845662845226,17.1098193229462,4.03259710050679e-44,2.98961443992199e-40,89.6824064057918,0.783769394330994,0.197980543667026,-0.585788850663968,"8",99959430,"F","I","OSR2","5'UTR","shore","5'UTR-shore","chr8:99960497-99961438",NA,TRUE,"","",""
"cg03108373",-0.43316559735637,0.340281773493082,-17.04841704715,6.57335189100235e-44,4.43200918742719e-40,89.1972407804888,0.255012955115844,0.688178552472213,0.43316559735637,"7",88583884,"F","II","ZNF804B","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg07804289",-0.490940491558213,0.294753957068077,-17.0214822878067,8.14498124139252e-44,5.33277778957274e-40,88.984374577299,0.198112128021185,0.689052619579398,0.490940491558212,"1",153114690,"R","II","SPRR2C","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg02855850",-0.445513412566083,0.31148074675576,-16.9555862775874,1.37630107617321e-43,8.73381606463079e-40,88.4634894735465,0.223781256093145,0.669294668659228,0.445513412566083,"1",152882420,"F","II","IVL","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg10703826",0.522139076683939,0.54733080914321,16.8894727296597,2.32997870297601e-43,1.3933763942602e-39,87.9407380951091,0.650114091955009,0.127975015271069,-0.522139076683939,"1",119532116,"F","I","TBX15","1stExon","island","1stExon-island","chr1:119531991-119532196",NA,TRUE,"","rs73011341",""
"cg02710296",0.441075156009517,0.742248570016352,16.8749026224294,2.61666119565925e-43,1.54189003806675e-39,87.8255150977241,0.829074388128462,0.387999232118944,-0.441075156009517,"1",182921851,"F","I","C1orf14","Body","island","Body-island","chr1:182921819-182922644",NA,NA,"","",""
"cg03618016",-0.542157819952434,0.397070069374157,-16.8679648792428,2.76531742981501e-43,1.60653647713736e-39,87.770647833991,0.29034608906856,0.832503909020994,0.542157819952434,"1",247769804,"F","II","OR2G3","1stExon","opensea","1stExon-opensea","",NA,NA,"","",""
"cg12769118",-0.42107880957167,0.251858800913587,-16.7633205912585,6.36478627461648e-43,3.45820682393047e-39,86.9428886031991,0.168969271470345,0.590048081042014,0.42107880957167,"1",247712377,"R","II","C1orf150","TSS200","opensea","TSS200-opensea","",NA,NA,"","",""
"cg26312920",-0.40555261972653,0.26582874937429,-16.7230165239577,8.77527739702881e-43,4.58181670380233e-39,86.6239894420729,0.185995556514737,0.591548176241267,0.405552619726529,"7",31380390,"R","II","NEUROD6","5'UTR","shelf","5'UTR-shelf","chr7:31375845-31376542",NA,NA,"","",""
"cg24384472",-0.472511950771225,0.502612712849102,-16.5849843620035,2.63681017840657e-42,1.31040252915581e-38,85.531505487461,0.409598549311459,0.882110500082684,0.472511950771225,"8",113703176,"R","II","CSMD3","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg00380428",-0.402789482212853,0.312526433237794,-16.5531904238927,3.39755826522768e-42,1.61083704689584e-38,85.2797991084551,0.233237165085658,0.636026647298511,0.402789482212853,"17",77463587,"R","II","HRNBP3","5'UTR","shelf","5'UTR-shelf","chr17:77460245-77460646",NA,NA,"","",""
"cg21009747",0.401167300437625,0.840462427509362,16.5137627621361,4.65265580187788e-42,2.15632822226336e-38,84.9676260448621,0.919432368540391,0.518265068102766,-0.401167300437625,"22",36681341,"R","I","MYH9","Body","opensea","Body-opensea","",NA,NA,"low-CpG:35011227-35011289","",""
"cg06353345",-0.515852356412015,0.387859745667334,-16.4991628352527,5.22712334681481e-42,2.39565451690835e-38,84.852020767351,0.28631400621615,0.802166362628165,0.515852356412015,"11",5322976,"R","II","OR51B4","1stExon","opensea","1stExon-opensea","",NA,NA,"","",""
"cg01262413",-0.472506805963064,0.366900568834783,-16.4732380951386,6.42760225560287e-42,2.85082129676702e-38,84.6467320922398,0.273887418054653,0.746394224017717,0.472506805963064,"7",157691541,"R","II","PTPRN2","Body","shore","Body-shore","chr7:157690559-157690770",NA,NA,"","",""
"cg06679878",-0.405650776635513,0.30382896652158,-16.3494397392299,1.72537755122089e-41,7.04639067034796e-38,83.666235101881,0.223976451435849,0.629627228071362,0.405650776635513,"12",130335340,"R","II","TMEM132D","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg01775802",-0.504345879793695,0.364888969471642,-16.3067319242069,2.42577640710047e-41,9.71443376871078e-38,83.3279209220087,0.265608284472883,0.769954164266578,0.504345879793695,"14",72945461,"F","I","RGS6","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg23830540",-0.479850128616689,0.349020459876638,-16.2831736598064,2.92736446968571e-41,1.14998307030517e-37,83.1412893031953,0.254561773141069,0.734411901757758,0.479850128616689,"4",5845864,"F","II","CRMP1","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg25612480",-0.436804876258664,0.339650333489742,-16.1757781702871,6.89653330025712e-41,2.53990085019943e-37,82.2903877043786,0.2536651216278,0.690469997886464,0.436804876258664,"8",48920460,"R","II","UBE2V2","TSS1500","shore","TSS1500-shore","chr8:48920837-48921414",NA,NA,"","",""
"cg05349159",-0.414631071689831,0.399104663377736,-16.0548327980176,1.81055000362347e-40,6.17204525656705e-37,81.331966412725,0.317484373675013,0.732115445364844,0.414631071689831,"1",247695328,"F","II","OR2C3","Body","shore","Body-shore","chr1:247694035-247694501",NA,NA,"","",""
"cg17969913",-0.454047172378225,0.330719241274813,-16.0445021623636,1.96615560842001e-40,6.64755599603848e-37,81.2500957908347,0.24133987663343,0.695387049011655,0.454047172378225,"6",73865360,"F","II","KCNQ5","Body","shelf","Body-shelf","chr6:73867584-73867934",NA,NA,"","rs74395304",""
"cg17157798",-0.44355236889094,0.367831927018691,-16.0308184989598,2.19304666991034e-40,7.29508131815553e-37,81.1416510119455,0.280518468575593,0.724070837466533,0.44355236889094,"12",129595394,"F","II","TMEM132D","Body","opensea","Body-opensea","",NA,NA,"","rs76610610",""
"cg20312687",-0.487063683850071,0.367735573550327,-16.0022883264472,2.75385122996251e-40,9.01516912052513e-37,80.9155413005492,0.271856895627085,0.758920579477156,0.48706368385007,"20",29956585,"F","II","DEFB118","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg25622366",0.51324617535352,0.470822057879296,15.9589150311186,3.89302849798387e-40,1.25453147490382e-36,80.571785474687,0.57185476956306,0.0586085942095398,-0.51324617535352,"2",63281139,"F","I","OTX1","Body","island","Body-island","chr2:63281034-63281347",NA,NA,"","",""
"cg04923174",-0.407096779161461,0.265609770721807,-15.9519371502025,4.11600439995768e-40,1.29048096996351e-36,80.5164811544558,0.185472609469551,0.592569388631012,0.407096779161461,"1",158549277,"F","II","OR10X1","1stExon","opensea","1stExon-opensea","",NA,NA,"","","rs41273507"
"cg27364741",0.467147695159272,0.5322511981615,15.94123176757,4.48317172657295e-40,1.36979493107299e-36,80.4316334393884,0.624209405870018,0.157061710710746,-0.467147695159272,"2",63281069,"R","I","OTX1","Body","island","Body-island","chr2:63281034-63281347",NA,NA,"","",""
"cg03214622",-0.492189210122866,0.448512032362368,-15.8865636310445,6.93573771390468e-40,2.0882189985176e-36,79.9983421720828,0.351624392574402,0.843813602697268,0.492189210122866,"17",77115633,"F","II","HRNBP3","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","","rs2707018"
"cg11454300",-0.478143956734577,0.41852091975612,-15.862577378769,8.39929056092036e-40,2.51054186221666e-36,79.8082276398664,0.324398093627266,0.802542050361843,0.478143956734577,"2",2256402,"R","II","MYT1L","5'UTR","opensea","5'UTR-opensea","",NA,TRUE,"","",""
"cg25856811",-0.405310864294894,0.283177302048903,-15.8488293034514,9.37349464082013e-40,2.74724978210822e-36,79.6992600633962,0.203391698841247,0.608702563136141,0.405310864294894,"1",152973957,"R","II","SPRR3","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg00563352",-0.532472903216991,0.39397368207835,-15.7926845289233,1.46735068401674e-39,4.00830647346959e-36,79.2542524947928,0.289156181445085,0.821629084662075,0.53247290321699,"5",9765708,"F","II","LOC285692","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg13879483",0.57673325823018,0.605459606643776,15.7462234965997,2.12616547524935e-39,5.65808297675049e-36,78.8859986201342,0.718989775586724,0.142256517356544,-0.57673325823018,"12",95942907,"F","I","USP44","TSS1500","island","TSS1500-island","chr12:95941906-95942979",TRUE,NA,"","",""
"cg24537237",-0.521294243892784,0.408361765369609,-15.6559319303739,4.37119741101789e-39,1.11298511067535e-35,78.1703523682397,0.30574478822536,0.827039032118144,0.521294243892784,"11",1254204,"F","I","MUC5B","Body","island","Body-island","chr11:1253903-1254494",NA,NA,"","",""
"cg24921221",-0.402024963228176,0.250137125284207,-15.6249596330346,5.59713582027708e-39,1.35806598840218e-35,77.9248746275464,0.170998352995196,0.573023316223372,0.402024963228176,"8",12584192,"R","II","LONRF1","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg16657538",0.505933577751833,0.514376844163458,15.5801867267905,8.00142498127146e-39,1.87524760096581e-35,77.5700266244701,0.613970068130355,0.10803649037852,-0.505933577751834,"18",32847566,"R","I","ZNF397OS","5'UTR","island","5'UTR-island","chr18:32847284-32848130",TRUE,NA,"","",""
"cg26711345",-0.48364434512936,0.393441451514103,-15.5615109658153,9.28760460259105e-39,2.14020135982199e-35,77.4220156801277,0.298235871764229,0.781880216893588,0.48364434512936,"8",89331837,"F","II","MMP16","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg00817367",0.507237777077101,0.562915060621718,15.478061550633,1.80781017208711e-38,3.94543570154849e-35,76.7606896631962,0.662765016739257,0.155527239662156,-0.507237777077101,"12",52401214,"F","I","GRASP","Body","island","Body-island","chr12:52400467-52401696",TRUE,NA,"","",""
"cg17569842",0.564021727409981,0.638003784707942,15.4660127560968,1.99027757778198e-38,4.29817636419418e-35,76.6652100109725,0.749031683804395,0.185009956394413,-0.564021727409981,"4",3371566,"R","II","RGS12","Body","shelf","Body-shelf","chr4:3374733-3374998",TRUE,TRUE,"","",""
"cg06176750",-0.436888533537692,0.466555684233749,-15.4441381997191,2.36989262969764e-38,5.06495171912078e-35,76.4918709920342,0.380554004403495,0.817442537941186,0.436888533537692,"11",7112356,"F","I","RBMXL2","3'UTR","shore","3'UTR-shore","chr11:7110132-7111376",NA,NA,"","",""
"cg24315710",-0.411628789692586,0.308124673988857,-15.4393165178859,2.46286063635066e-38,5.23651143372452e-35,76.453663606755,0.227095384679292,0.638724174371879,0.411628789692586,"3",130203349,"R","II","COL29A1","3'UTR","opensea","3'UTR-opensea","",NA,NA,"","",""
"cg14128411",-0.546799479189141,0.436062470622824,-15.4336230152596,2.57734437067901e-38,5.45182350442077e-35,76.4085481962847,0.328424777869056,0.875224257058196,0.54679947918914,"2",1926907,"F","II","MYT1L","Body","opensea","Body-opensea","",NA,NA,"low-CpG:1905605-1905922","rs80078908",""
"cg26151206",-0.566895304804374,0.430599461213114,-15.3762913244098,4.07252796793533e-38,8.2345118075585e-35,75.9542735208642,0.319005897275245,0.885901202079619,0.566895304804374,"1",158390649,"F","II","OR10K2","1stExon","opensea","1stExon-opensea","",NA,NA,"","rs4143457",""
"cg03629497",-0.520439552469109,0.484136970962577,-15.3746497941337,4.12622382782629e-38,8.30238502792983e-35,75.9412672963963,0.381688240161571,0.90212779263068,0.520439552469109,"8",114440908,"R","II","CSMD3","Body","shelf","Body-shelf","chr8:114444826-114445085",NA,NA,"","",""
"cg06552160",-0.4349353725288,0.321659708224958,-15.3519058106287,4.94732241169962e-38,9.76400237177163e-35,75.761065388045,0.236042508908265,0.670977881437065,0.4349353725288,"2",1926724,"R","II","MYT1L","Body","opensea","Body-opensea","",NA,NA,"low-CpG:1905605-1905922","",""
"cg26738880",-0.464273724672243,0.347176204288621,-15.1984399932175,1.68307135425528e-37,3.14133463925146e-34,74.5453669832785,0.255783738801959,0.720057463474202,0.464273724672243,"7",154429032,"R","II","DPP6","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg19099050",0.453472840160956,0.502168451094242,15.1851991962067,1.87055767796445e-37,3.47553829533537e-34,74.4404988211121,0.591434758212541,0.137961918051585,-0.453472840160956,"3",9594382,"R","I","LHFPL4","5'UTR","shore","5'UTR-shore","chr3:9595185-9595533",NA,NA,"high-CpG:9569371-9569402","",""
"cg04812644",-0.430331702050018,0.307364659890162,-15.1836586623218,1.89368483769591e-37,3.50273101137959e-34,74.4282979043266,0.222653694919686,0.652985396969705,0.430331702050018,"8",136302000,"R","II","LOC286094","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg25537993",0.503993764687819,0.55289149614662,15.1449726835258,2.57818343337337e-37,4.66426175781264e-34,74.1219242278307,0.652102867148159,0.148109102460339,-0.50399376468782,"19",58545182,"F","I","ZSCAN1","TSS1500","island","TSS1500-island","chr19:58545115-58545897",TRUE,NA,"","",""
"cg14607894",-0.460283799503095,0.465662043399215,-15.1144208241217,3.28953176216476e-37,5.70113172600624e-34,73.8799920199116,0.375054996252936,0.835338795756031,0.460283799503094,"7",81964885,"R","II","CACNA2D1","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg22399133",0.602271611989452,0.571869486409901,15.1080278251415,3.46159236831947e-37,5.95840932536088e-34,73.8293702372896,0.690426890344833,0.08815527835538,-0.602271611989453,"2",208989248,"R","I","CRYGD","1stExon","island","1stExon-island","chr2:208988834-208989269",NA,NA,"","",""
"cg03304660",-0.430280870390011,0.386565663830488,-15.0640557000144,4.91541502958129e-37,8.30948896236361e-34,73.4812115741982,0.301864705092297,0.732145575482308,0.430280870390011,"7",157586219,"R","II","PTPRN2","Body","shore","Body-shore","chr7:157586711-157587112",NA,TRUE,"","",""
"cg00396667",0.445951992503629,0.566202974054979,15.0310092933983,6.39724917043227e-37,1.07266005490613e-33,73.2195913617732,0.653988799350969,0.208036806847339,-0.44595199250363,"5",134364387,"R","I","PITX1","3'UTR","island","3'UTR-island","chr5:134363092-134365146",NA,NA,"","",""
"cg04414975",-0.45136662413956,0.374978885080687,-15.024938310471,6.71451386200852e-37,1.12129934911544e-33,73.1715319778116,0.28612718741542,0.73749381155498,0.45136662413956,"12",130333815,"R","II","TMEM132D","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg26129110",-0.401877595915715,0.277557697226625,-15.0219811681628,6.87470062223289e-37,1.14342072070937e-33,73.1481228704593,0.198447934251091,0.600325530166805,0.401877595915715,"5",7619983,"F","II","ADCY2","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg20117742",-0.411335977804538,0.289989399746899,-15.0057653323746,7.82348018318614e-37,1.28567208344255e-33,73.0197604578589,0.209017750572778,0.620353728377316,0.411335977804538,"19",54876795,"F","II","LAIR1","TSS200","opensea","TSS200-opensea","",NA,NA,"","rs78231091",""
"cg17840707",-0.47806562700739,0.405114370146128,-14.9706213210481,1.03531690603218e-36,1.68273398945672e-33,72.7415899041111,0.31100696325491,0.7890725902623,0.47806562700739,"15",86951099,"R","II","AGBL1","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg23462514",0.405203113330866,0.659631246034811,14.9705138868799,1.03620393017377e-36,1.68273398945672e-33,72.740739598467,0.739395638422777,0.33419252509191,-0.405203113330866,"4",1107585,"R","I","RNF212","TSS200","island","TSS200-island","chr4:1107125-1107728",TRUE,NA,"","",""
"cg14231297",0.419258180803953,0.53645342456614,14.943266830421,1.28756179749805e-36,2.03484589193024e-33,72.5250989925811,0.618984562519674,0.19972638171572,-0.419258180803953,"19",58629901,"F","I","ZSCAN18","TSS200","island","TSS200-island","chr19:58629309-58630241",NA,NA,"","rs8109359",""
"cg10222925",-0.528106413979353,0.37454466728342,-14.932677330453,1.40095426935113e-36,2.17991929952748e-33,72.4412966967173,0.270586711775673,0.798693125755026,0.528106413979353,"8",88885186,"R","II","DCAF4L2","1stExon","shore","1stExon-shore","chr8:88886171-88886445",NA,NA,"","",""
"cg13316295",-0.499143353720609,0.371649490002118,-14.926166157827,1.47557702426997e-36,2.279578601303e-33,72.3897707913097,0.273392924309085,0.772536278029694,0.499143353720609,"8",117954154,"R","II","C8orf85","Body","shelf","Body-shelf","chr8:117950472-117950717",NA,NA,"","",""
"cg01181150",-0.428957649046355,0.345153352308258,-14.9222063463897,1.52288884820222e-36,2.32652857405666e-33,72.3584356069586,0.260712870212518,0.689670519258873,0.428957649046355,"7",154407878,"R","II","DPP6","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg21221557",-0.47152382203917,0.495942700417865,-14.8904925216285,1.96080231566281e-36,2.91983285186611e-33,72.1074919064259,0.403123050410155,0.874646872449324,0.471523822039169,"5",83639995,"R","II","EDIL3","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg22794244",-0.464303051455262,0.41294503552403,-14.8872086549123,2.01279221086564e-36,2.98646958248227e-33,72.0815092697259,0.321546797048585,0.785849848503846,0.464303051455261,"11",123892873,"F","II","OR10G9","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg25597535",-0.502914173361906,0.364153101321355,-14.8853054574599,2.0435518079022e-36,3.02124119453515e-33,72.0664509318627,0.265154248297358,0.768068421659264,0.502914173361906,"7",31379820,"F","II","NEUROD6","5'UTR","shelf","5'UTR-shelf","chr7:31375845-31376542",NA,NA,"","rs77384970",""
"cg03872376",-0.486130802905737,0.368410570047802,-14.8587405172038,2.52533060105601e-36,3.6937974881354e-33,71.8562779102416,0.272715530105728,0.758846333011465,0.486130802905737,"1",238053828,"F","II","ZP4","1stExon","opensea","1stExon-opensea","",NA,NA,"","",""
"cg26282205",0.427409930159561,0.828837515021768,14.8525408785218,2.65321096963828e-36,3.83128897706743e-33,71.8072317222575,0.912973328045304,0.485563397885742,-0.427409930159562,"10",75602367,"F","II","CAMK2G","Body","shelf","Body-shelf","chr10:75599260-75599488",NA,NA,"","",""
"cg25201255",-0.465774445792814,0.38346191765207,-14.8068407931653,3.81854585765246e-36,5.39410141750118e-33,71.4457318600723,0.291774034621989,0.757548480414802,0.465774445792814,"12",5576120,"R","II","NTF3","Body","opensea","Body-opensea","",NA,TRUE,"","rs11063694",""
"cg08948808",-0.487862886103108,0.321972633571932,-14.7809610926925,4.69278436839615e-36,6.53947428736626e-33,71.2410484977679,0.225936632370532,0.713799518473641,0.487862886103108,"1",152942003,"R","II","SPRR4","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg25264630",-0.453958030447239,0.32178848325696,-14.7468288167019,6.15882871421829e-36,8.46799942289825e-33,70.9711320004057,0.232426666239787,0.686384696687026,0.453958030447239,"7",157849744,"F","II","PTPRN2","Body","opensea","Body-opensea","",NA,NA,"","rs12536746",""
"cg09892262",-0.406543585516006,0.326454607477805,-14.7263067437231,7.25233215025435e-36,9.87276969527744e-33,70.8088650779766,0.24642634261245,0.652969928128456,0.406543585516006,"21",31655654,"R","II","KRTAP24-1","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg24605288",-0.452713814090036,0.52180729535451,-14.7246726546166,7.34732437050959e-36,9.9691832357637e-33,70.7959451052287,0.432690402817102,0.885404216907137,0.452713814090036,"7",84628407,"F","II","SEMA3D","3'UTR","opensea","3'UTR-opensea","",NA,TRUE,"","rs78757145",""
"cg26066361",-0.523363799184026,0.418476965954537,-14.721174379456,7.55488607563042e-36,1.01838136057585e-32,70.7682862325486,0.315452596036422,0.838816395220447,0.523363799184026,"12",10282621,"R","II","CLEC7A","1stExon","opensea","1stExon-opensea","",NA,NA,"","",""
"cg24254317",-0.560061486194476,0.397894272515925,-14.6964397885105,9.19954450312023e-36,1.23202510265959e-32,70.5727372836338,0.287645948461895,0.84770743465637,0.560061486194476,"7",157834846,"F","II","PTPRN2","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg12930930",-0.408774536635087,0.324479763871625,-14.6842073952219,1.01406387006351e-35,1.3512597373901e-32,70.4760381265028,0.244012335400151,0.652786872035238,0.408774536635087,"11",5372503,"R","II","OR51B6","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg15651928",-0.461744673110916,0.425324047062982,-14.6827005653867,1.0263031884958e-35,1.36119152891941e-32,70.4641267873239,0.334429426371857,0.796174099482773,0.461744673110915,"20",32290811,"R","II","PXMP4","3'UTR","opensea","3'UTR-opensea","",NA,NA,"","",""
"cg08786003",-0.523526953448535,0.323462227651759,-14.6571510177801,1.25781276665881e-35,1.64705989779109e-32,70.2621739665328,0.220405740752441,0.743932694200976,0.523526953448535,"1",157670710,"R","II","FCRL3","TSS200","opensea","TSS200-opensea","",NA,NA,"","",""
"cg04223420",0.43661338952999,0.520249877632633,14.6182438211554,1.71443234739515e-35,2.18262583051204e-32,69.9546886275365,0.606197395256647,0.169584005726657,-0.436613389529991,"5",134363877,"R","I","PITX1","3'UTR","island","3'UTR-island","chr5:134363092-134365146",NA,TRUE,"","",""
"cg02638567",-0.403132873234056,0.311278033649277,-14.5737200262378,2.44347919492813e-35,3.0542083084944e-32,69.6028934986708,0.231921168839423,0.635054042073479,0.403132873234057,"7",70793147,"R","II","WBSCR17","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg26552233",-0.436041370445806,0.499153782105247,-14.5663721865438,2.59060751232004e-35,3.20893806993779e-32,69.5448444123596,0.413318866663159,0.849360237108965,0.436041370445805,"6",72967959,"F","II","RIMS1","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg01011918",-0.474901313811617,0.383945223767061,-14.5620421567942,2.68142127471358e-35,3.30159799646308e-32,69.5106376153399,0.290460713174223,0.765362026985839,0.474901313811617,"1",153013573,"R","II","SPRR2D","1stExon","opensea","1stExon-opensea","",NA,NA,"","",""
"cg17264670",0.475457922538844,0.591005592918203,14.5608612484736,2.7067359736812e-35,3.32284869392856e-32,69.5013087034212,0.684599672158133,0.209141749619289,-0.475457922538844,"6",153452732,"F","I","RGS17","TSS1500","island","TSS1500-island","chr6:153450992-153452792",NA,NA,"","rs12174180",""
"cg06586713",-0.451275523218682,0.379394859518007,-14.5585452210434,2.75707940762461e-35,3.36462387910179e-32,69.4830127841985,0.290561095104881,0.741836618323563,0.451275523218682,"7",82581469,"R","II","PCLO","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg08393822",-0.510875072763618,0.386126098598423,-14.5548724335403,2.83884012968302e-35,3.45418175673092e-32,69.4539993591122,0.285560139392987,0.796435212156604,0.510875072763618,"2",210737704,"R","II","UNC80","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg20785796",0.402404835492996,0.681151444635071,14.5529590580119,2.88238961076864e-35,3.496855732469e-32,69.4388847627211,0.760364994928968,0.357960159435972,-0.402404835492996,"2",200326721,"R","I","SATB2","TSS1500","island","TSS1500-island","chr2:200320502-200329681",NA,NA,"","",""
"cg00163018",-0.427680791020862,0.311695647585373,-14.5410349327232,3.16924221889482e-35,3.80750993498362e-32,69.3446945477129,0.227506515494652,0.655187306515514,0.427680791020862,"1",237413813,"R","II","RYR2","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg09975995",-0.430819677074962,0.36829541886098,-14.5404222197367,3.18472938341812e-35,3.80750993498362e-32,69.3398548214396,0.283488395814728,0.714308072889689,0.430819677074961,"4",175899203,"F","II","ADAM29","3'UTR","opensea","3'UTR-opensea","",NA,NA,"","",""
"cg01925883",-0.455745496591015,0.388348333044589,-14.5403408867808,3.18679086374959e-35,3.80750993498362e-32,69.3392123861244,0.298634652613287,0.754380149204301,0.455745496591014,"1",152062567,"F","II","TCHHL1","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
